,Valence,Dominance,Arousal,Frequency,Effect_Size,P_Value
conundrum,0.354,0.524,0.408,3.0,-0.1548331890317638,0.6193412330302114
convalescent,0.458,0.48,0.269,2.6,-0.3871808276530696,0.7796686707155223
convection,0.521,0.494,0.526,3.22,0.6164457146568738,0.1087378250023629
convene,0.583,0.676,0.636,3.04,-0.3361367734086435,0.7507103342493764
convenience,0.781,0.448,0.613,4.02,0.1087038068277505,0.4079544207242495
conveniences,0.802,0.412,0.693,2.85,0.3394070013505543,0.2554944054578544
convenient,0.846,0.491,0.574,4.15,0.0457425508078461,0.4666708272509487
convent,0.48,0.217,0.594,3.48,1.0088337927152282,0.0241810645843458
convention,0.622,0.622,0.704,4.5,0.0064545016758832,0.4984528585798201
conventional,0.594,0.292,0.634,4.25,0.0475425912389489,0.464553137317038
converge,0.635,0.471,0.539,3.23,0.3271754003316903,0.2550282242775669
convergence,0.551,0.491,0.625,3.46,-0.4899226041411842,0.8346096960266225
convergent,0.781,0.49,0.696,2.8,0.523283321932156,0.1483184801883388
conversant,0.724,0.36,0.542,2.39,-0.4810315029447585,0.8379150290718014
conversation,0.75,0.51,0.609,4.75,-0.1569702864361699,0.6223621501136105
conversational,0.719,0.431,0.596,3.11,0.3078310467434171,0.2630481377108401
conversationalist,0.719,0.467,0.667,2.34,0.5504287677497518,0.1343321225644691
converse,0.594,0.406,0.598,3.48,-0.1246743986597873,0.5974004105360193
conversing,0.755,0.409,0.442,2.93,-0.0145342896800398,0.5072220219421065
conversion,0.48,0.605,0.736,4.24,-1.6341332373458168,0.9994446097882846
convert,0.551,0.538,0.704,4.11,-1.2500650674560472,0.9941456378586334
converted,0.663,0.418,0.686,4.21,-1.020275800922695,0.9779081958674164
convertible,0.542,0.529,0.717,3.55,1.346626435467607,0.0033222304792193
convex,0.438,0.427,0.445,3.26,0.2332994301978843,0.3207453836398135
convexity,0.449,0.354,0.484,2.11,0.8001088824990327,0.0529719450496052
convey,0.719,0.633,0.708,3.83,0.122779045535748,0.405848295404338
conveyance,0.615,0.52,0.455,2.79,-0.4333020295555628,0.8096794738546039
conveyancing,0.375,0.479,0.663,2.46,-0.0650929513750533,0.5594210584550139
convict,0.177,0.84,0.477,3.56,-1.2520406187668098,0.9941632929929832
conviction,0.615,0.704,0.826,4.14,-0.8616685753301905,0.9559611330792678
convince,0.708,0.539,0.763,4.26,-0.3984268840873036,0.7864806631387276
convinced,0.75,0.5,0.63,4.4,-0.4100906168418383,0.7940263173394202
convincing,0.76,0.527,0.9,3.97,-0.2603455342263555,0.6933992295177821
convocation,0.538,0.611,0.663,2.89,-0.6022851965034854,0.884680307090872
convoluted,0.323,0.614,0.433,3.05,-0.3801511226626399,0.7765580334383912
convolution,0.417,0.559,0.527,2.47,-0.0563119514518231,0.5424774915611856
convoy,0.5,0.671,0.639,3.71,-0.6446146708671278,0.8998954195394655
coo,0.49,0.439,0.5,3.3,0.6248830012322789,0.1064218344697064
cook,0.847,0.5,0.412,4.65,0.4706036508397124,0.1716055917133991
cookbook,0.602,0.346,0.398,3.36,1.0645495988821627,0.0174816797532142
cooker,0.592,0.373,0.407,3.34,0.6173566423404209,0.1045156856726858
cookery,0.633,0.368,0.345,3.12,1.2446839942592731,0.0061943056830411
cookie,0.792,0.306,0.25,4.07,0.8035257397811194,0.0538682043740249
cookies,0.823,0.451,0.316,4.12,0.79839831367916,0.0566674536339687
cooking,0.694,0.51,0.434,4.45,0.812918954325186,0.0516825387310475
cookout,0.68,0.406,0.482,2.49,0.0225939263921938,0.4905340857177654
cool,0.885,0.54,0.781,5.15,-0.4488199172541223,0.815918561407714
coolant,0.72,0.412,0.456,3.19,-0.1142467434278367,0.5901855992767762
cooler,0.664,0.375,0.46,3.96,-0.5228596305355998,0.8481723352053445
cooling,0.469,0.324,0.392,4.06,-0.3564490845904641,0.7657382969543434
coolness,0.49,0.307,0.548,2.82,-0.3939396986967921,0.78762326559524
coon,0.49,0.46,0.4,3.07,-0.7760099973701574,0.939256300530069
coop,0.612,0.445,0.65,3.41,0.6976264986971006,0.0811363573737304
cooperate,0.898,0.451,0.582,3.79,-0.0417978521417024,0.5375977006013278
cooperating,0.76,0.39,0.693,3.41,0.0050138686175048,0.4920694566085084
cooperation,0.847,0.473,0.686,4.3,-0.5028222214909999,0.8388896069403518
cooperative,0.816,0.461,0.67,3.86,0.4937019981499416,0.1623962863054024
coordinate,0.698,0.429,0.694,3.82,0.8770462113868496,0.0395654210778015
coordination,0.677,0.454,0.789,3.9,0.147987274809243,0.3871422915810969
coordinator,0.75,0.51,0.85,3.91,-0.0250677732437166,0.5206008526366566
cop,0.327,0.77,0.836,4.37,-0.6024611937429082,0.8875969673200779
copacetic,0.51,0.471,0.453,1.73,0.3842127744321019,0.2192047770543082
cope,0.592,0.647,0.709,4.04,0.2637059510292275,0.2975743020888586
copier,0.459,0.345,0.39,2.67,-0.7495952679968028,0.9341286955766318
copilot,0.64,0.538,0.573,2.47,-1.469194457407703,0.9984539472760932
coping,0.562,0.63,0.613,3.7,1.5745608951604029,0.0009023416643164
copious,0.427,0.462,0.527,3.1,0.0127788979436014,0.4880412991265801
copper,0.58,0.26,0.5,4.27,0.1589771806458568,0.3749744732459676
copter,0.571,0.704,0.569,2.46,-0.5981033094465354,0.8818656357768289
copy,0.46,0.24,0.263,4.77,0.3601015520159857,0.2342336363962698
copycat,0.449,0.58,0.443,2.92,0.9339694217198756,0.0294310557419976
copying,0.448,0.315,0.404,3.68,0.1877640193240112,0.3538728802780528
copyright,0.458,0.402,0.663,4.24,0.5844752350307671,0.1175299483338208
coral,0.802,0.231,0.425,3.86,1.1340009139439056,0.0117968689731445
cord,0.388,0.378,0.358,3.98,0.1130072404422306,0.4037824083271472
cordial,0.823,0.312,0.482,3.1,-0.5952936364941948,0.8856344288742416
cordless,0.667,0.441,0.528,2.73,0.0915956163126819,0.4200452485572463
cordon,0.469,0.317,0.38,3.14,-0.6503253227881213,0.8996966251607583
corduroy,0.57,0.324,0.357,2.58,-0.3628206719661918,0.7673158928724704
core,0.721,0.378,0.54,4.73,-0.3685552108608915,0.7742647630584902
cork,0.347,0.25,0.281,3.71,0.4121841622003414,0.2031442184932035
corkscrew,0.427,0.443,0.445,2.71,-0.308301229350118,0.7283690971221966
corn,0.594,0.196,0.292,4.19,-0.1393740316862539,0.6031582006432601
cornball,0.479,0.378,0.325,1.98,-1.299458196136357,0.9947644884571658
cornbread,0.643,0.304,0.302,2.72,1.091583286397667,0.0143263177834644
cornea,0.521,0.346,0.443,2.93,0.2127318477856013,0.3288822375788841
corned,0.459,0.441,0.425,2.63,-0.1961226377315162,0.6535604334656997
corner,0.4,0.296,0.366,4.75,-0.6024551293753087,0.8872358361855804
cornerstone,0.55,0.388,0.596,3.39,-1.327232581379686,0.996086902026956
cornet,0.507,0.52,0.415,2.81,-1.58251618486267,0.999166965321016
cornfield,0.719,0.31,0.349,2.53,-0.1160897839268821,0.5891239662783416
cornflakes,0.729,0.346,0.355,2.47,0.219093784621838,0.3315526778289985
cornice,0.458,0.441,0.295,2.63,0.2010363573420058,0.3380356750418042
cornstarch,0.643,0.299,0.337,2.5,1.1009311553086705,0.0140645805785921
corny,0.448,0.37,0.221,3.23,-0.091005044169568,0.5749027383364868
corollary,0.458,0.469,0.366,2.74,-0.7446185350056173,0.9309966414722834
corona,0.818,0.439,0.745,3.42,0.2288597871208112,0.3191767608924115
coronary,0.567,0.613,0.509,3.41,0.369269234341772,0.2348370159343759
coronation,0.792,0.592,0.836,3.45,0.0358246377931176,0.4717177886661858
coroner,0.323,0.558,0.526,3.43,-0.5836344366594352,0.880818891213734
corporal,0.582,0.49,0.596,3.65,-1.1958078972157609,0.991123551279984
corporate,0.592,0.454,0.745,4.64,-0.4131383977029679,0.7987562174457559
corporation,0.429,0.332,0.873,4.59,-0.5349497473110739,0.858987818417776
corporeal,0.52,0.35,0.461,2.63,0.1899842089782487,0.35187006439719
corps,0.551,0.453,0.483,4.27,-1.48885364387604,0.9985748974655873
corpse,0.094,0.657,0.232,3.76,-0.3393361542651079,0.755346497947083
corpsman,0.439,0.469,0.651,2.28,-1.0460760057550282,0.9823154107233284
corpus,0.543,0.34,0.49,3.64,-0.2886013967389443,0.7132434680359667
corral,0.606,0.662,0.422,3.06,-0.6691885356202097,0.9107656382900268
correct,0.857,0.306,0.723,4.79,-0.2790223202222034,0.7138957993268592
correction,0.448,0.485,0.558,3.95,-1.050590205101129,0.9823501277021208
correctional,0.292,0.713,0.602,3.43,-0.3108872797440073,0.7286050053965462
corrective,0.448,0.528,0.613,3.29,0.2113395640388984,0.3356869332792107
correctness,0.796,0.45,0.649,3.39,-0.0692369993756052,0.5574874633323773
correlation,0.596,0.462,0.571,3.86,-0.1063084893075102,0.5851804005960723
correlative,0.51,0.402,0.571,2.16,0.4044691487967181,0.2118634322407508
correspond,0.71,0.452,0.545,3.5,0.2256083753197892,0.3306200474238017
correspondence,0.663,0.423,0.491,3.85,-0.165655008116266,0.6271973581558339
correspondent,0.573,0.565,0.712,3.86,0.1517825562779335,0.3817892548674536
corresponding,0.74,0.423,0.618,4.13,0.1081638464480021,0.4247945948341923
corridor,0.604,0.589,0.592,3.88,0.2277434096606177,0.3213610497044975
corroborate,0.671,0.471,0.616,2.92,-0.1454490095351856,0.6213633116577872
corroboration,0.625,0.431,0.733,2.7,-0.1188213770973215,0.5908746496939186
corrosion,0.156,0.61,0.348,3.48,-0.275832892075544,0.7089349594362728
corrosive,0.14,0.618,0.57,3.11,-0.3085745766724943,0.7306897393374882
corrupt,0.02,0.806,0.5,4.14,-1.2624560932776907,0.9945446700283816
corrupting,0.062,0.804,0.38,2.89,-0.5564269542276832,0.8701223188280948
corruption,0.052,0.83,0.549,4.35,-1.0613837637904429,0.983245181328293
corsage,0.51,0.294,0.397,2.18,1.5227792233033208,0.0011882801411094
corse,0.448,0.451,0.382,2.39,-0.1964418091178273,0.6498069225083781
corset,0.49,0.52,0.381,3.03,1.4673878582543851,0.0015376098319
cortex,0.594,0.439,0.529,3.59,-0.4223047130145257,0.8026081810311059
cortical,0.38,0.423,0.536,3.06,0.3712694663736764,0.2345546980577942
cortisone,0.427,0.395,0.456,2.54,-0.8469610505844831,0.9556707147195258
corvette,0.551,0.52,0.598,3.33,0.3460937264461352,0.2429556983101648
cosmetic,0.625,0.304,0.308,3.71,1.048352824202237,0.0188643811523872
cosmetics,0.765,0.464,0.472,3.67,1.607835194707436,0.0006109511671844
cosmic,0.663,0.538,0.692,3.78,-0.9219457448394052,0.9669425604961788
cosmology,0.651,0.438,0.637,2.98,-1.2256582343697895,0.9928803461872412
cosmopolitan,0.823,0.51,0.76,3.36,0.7458049741733123,0.0704298598726791
cosmos,0.86,0.478,0.664,3.51,-0.3920205684359378,0.7824505150298855
cost,0.365,0.42,0.439,5.24,-0.2936082505965557,0.7207961508821831
costly,0.316,0.65,0.642,3.93,-0.3763932533936995,0.7729566606422144
costume,0.548,0.51,0.374,4.18,0.9710200007746308,0.0250738400736146
cosy,0.847,0.255,0.518,3.31,0.8959445946472374,0.0355933456521874
cot,0.625,0.23,0.278,3.21,0.1385936787570782,0.3894407795617574
cote,0.439,0.344,0.324,2.97,-0.2026743588903529,0.6541849010499245
cottage,0.6,0.279,0.361,4.0,0.9323567934817965,0.0320367907577262
cotton,0.639,0.071,0.24,4.35,0.276201584713186,0.2912531327951833
couch,0.594,0.082,0.198,4.17,0.6960605377092339,0.0812307187959442
cougar,0.438,0.588,0.538,3.38,1.245861732297986,0.0060998505185914
cough,0.255,0.627,0.241,3.95,-0.1533782316716083,0.6162891880839428
council,0.875,0.279,0.635,5.08,-0.7537511843071479,0.9323691389181884
councilman,0.531,0.367,0.793,3.17,-1.1413051086793855,0.9891410085967725
counsel,0.594,0.519,0.73,4.16,-0.7193121762133692,0.9242443487213816
counseling,0.667,0.48,0.704,3.89,1.0448599245319412,0.0185026672043465
counsellor,0.823,0.327,0.74,3.32,0.6453748659894951,0.1002759017190566
counselor,0.873,0.365,0.706,3.79,0.8867690289375523,0.0382566948950594
count,0.594,0.389,0.492,4.83,-0.7263911709235467,0.9281044645195788
countdown,0.438,0.692,0.49,3.68,0.1902865346766705,0.3521875648422116
countenance,0.635,0.44,0.69,2.91,-0.3515994955286006,0.7566302560137997
counter,0.439,0.478,0.75,4.56,0.1506411671058116,0.3834119010585394
counteract,0.378,0.542,0.688,3.19,0.0569153186361277,0.4519504543651421
counterattack,0.281,0.951,0.764,2.88,-0.5765060635426901,0.8773067212285188
counterbalance,0.52,0.48,0.627,2.74,-0.0704431581783967,0.5548534841619176
counterclaim,0.398,0.76,0.651,2.21,-0.093717734285453,0.5763442338265876
counterfeit,0.094,0.694,0.451,3.39,-0.5584119599544088,0.8702674552243539
counterpart,0.448,0.608,0.577,3.7,-0.6759005755459497,0.912498561480364
counterpoint,0.438,0.509,0.538,3.11,0.0258161342468713,0.4847603312232025
countess,0.562,0.44,0.67,3.53,1.2850331211603212,0.0054980625666721
countless,0.52,0.566,0.534,3.96,-0.1230291079442977,0.5973973977273841
country,0.698,0.394,0.693,5.48,-0.2377251571064871,0.6786895319736522
countryman,0.673,0.441,0.789,2.9,-1.4928085669545443,0.9985589915967434
countryside,0.732,0.288,0.327,3.92,0.4309435724944147,0.19467612077252
counts,0.343,0.373,0.5,4.28,-0.4150476619291029,0.7943502462376262
county,0.479,0.368,0.545,5.19,-0.5993037365596395,0.8819151582785849
coup,0.275,0.815,0.607,4.0,-1.1873241039707294,0.9924189150923746
coupe,0.479,0.46,0.482,3.34,-0.1124704414005835,0.5931875366954572
couple,0.806,0.605,0.607,5.19,1.00413038611233,0.0221313599610682
coupled,0.612,0.286,0.65,3.97,-0.0397625607731525,0.5342876935893427
coupling,0.594,0.479,0.555,3.47,0.4288168861790888,0.2006526157568238
coupon,0.704,0.3,0.421,3.86,0.962578368908274,0.0270200740767544
courage,0.83,0.728,0.849,4.32,-0.4593693105723657,0.8184234480670287
courageous,0.918,0.587,0.879,3.59,-0.3495316673350904,0.759352039621824
courier,0.551,0.383,0.441,3.68,-0.9128738491991584,0.967635180258536
courses,0.735,0.412,0.534,4.46,0.1135095107043313,0.3998921642958544
coursing,0.542,0.472,0.546,2.69,0.1942754719585919,0.345167175655551
court,0.479,0.769,0.827,5.41,-0.5121749751136584,0.8490255357302687
courteous,0.937,0.396,0.529,3.2,-0.5085873542718323,0.8462104132036623
courtesy,0.927,0.287,0.431,4.13,-0.1629852064859538,0.6331978832212648
courthouse,0.571,0.503,0.818,3.61,-0.3172195844896538,0.7368937297745349
courtroom,0.385,0.67,0.887,3.58,-0.1577365677314215,0.626007115059321
courts,0.367,0.71,0.816,4.46,-0.2340909007378487,0.6836601011149626
courtship,0.667,0.49,0.654,3.19,0.8999276458951314,0.0369298188192679
courtside,0.592,0.391,0.434,2.47,-0.4820250719342285,0.8333612419282499
courtyard,0.503,0.365,0.355,3.65,0.288492190027875,0.2840339292262323
cousin,0.675,0.394,0.427,4.41,0.0445085367422474,0.4612715934048181
cousins,0.76,0.409,0.464,3.95,0.2554012069466909,0.3092496404385931
cove,0.5,0.304,0.37,3.64,0.4289643296835281,0.1962171727297024
coven,0.458,0.578,0.591,3.0,1.441715099238917,0.0020346415806401
covenant,0.594,0.462,0.667,3.73,-1.4068918369144583,0.9972263351950502
cover,0.365,0.24,0.471,5.08,0.1610423106162348,0.370542517663082
coverage,0.767,0.413,0.629,4.63,0.0766831725841908,0.4338050354453842
covered,0.562,0.34,0.644,4.83,0.3891582729969674,0.2193759591256223
covering,0.615,0.382,0.583,4.45,0.0326305320692498,0.4732989190777523
covert,0.5,0.57,0.508,3.54,-0.6755536521697961,0.9112630590780232
covet,0.302,0.779,0.524,2.82,0.3260612580007063,0.2583154564085366
coveted,0.661,0.73,0.625,3.34,0.0546478568104743,0.453910890697648
cow,0.449,0.23,0.3,4.14,0.3891639379053655,0.215164592087129
coward,0.102,0.49,0.149,3.67,-1.3478362641611,0.996536979467103
cowardice,0.133,0.621,0.167,3.11,-1.1204851176130322,0.9870119194034216
cowardly,0.102,0.385,0.127,3.42,-1.357889270532501,0.996216297430502
cowboy,0.594,0.625,0.695,3.85,-0.5127037224300315,0.848846354172062
cowgirl,0.541,0.566,0.554,2.87,1.128532090499539,0.0128837969084354
cowhand,0.438,0.48,0.596,1.6,-0.7527623557306733,0.93055855635834
cowhide,0.458,0.324,0.333,2.15,0.0293826103500009,0.475116362582712
cowl,0.427,0.45,0.232,2.87,0.8264309310597274,0.0490219227214088
coworker,0.667,0.49,0.625,3.29,1.2751530658623518,0.0046355192094064
coy,0.347,0.33,0.213,3.1,0.4913018121030229,0.16530934136987
coyote,0.459,0.471,0.387,3.36,-0.4508203160948756,0.8185489365288655
cozy,0.91,0.356,0.545,3.64,0.946836634920423,0.0300597202193412
crab,0.421,0.396,0.33,3.76,0.2637867171989447,0.3040099680207209
crabby,0.198,0.812,0.37,2.46,0.8588963394745657,0.0446089707488784
crack,0.302,0.625,0.4,4.41,-0.3897146578887887,0.7774749559455556
cracked,0.224,0.52,0.228,3.99,-0.0279935879729743,0.5287464024772696
cracker,0.604,0.343,0.346,3.45,-0.4916614264223918,0.8361644900805201
crackerjack,0.567,0.509,0.426,2.03,-0.9366681814237398,0.9708082964920018
cracking,0.327,0.557,0.286,3.92,-0.5020545509435484,0.8410497686717012
crackle,0.327,0.643,0.481,2.78,0.6976691410193709,0.0841224005485143
crackpot,0.26,0.602,0.245,2.55,-1.1116943019731709,0.9870695413255762
cradle,0.776,0.194,0.333,3.5,0.1223420448021692,0.397927207399057
craft,0.76,0.321,0.539,4.3,0.6021780724276321,0.1130837005827944
crafts,0.667,0.38,0.391,3.73,0.9803954938522436,0.0262464988735463
craftsman,0.719,0.31,0.583,3.22,-1.4177077040703443,0.9980111894833502
craftsmanship,0.823,0.373,0.571,3.1,-0.3441974432782514,0.7555647795045857
crafty,0.589,0.679,0.783,3.21,0.2615513078891855,0.3030061277140089
craig,0.448,0.449,0.49,4.18,-0.6682257141027222,0.9150719998355314
cram,0.354,0.73,0.598,3.14,0.4370333112861062,0.1935552552079187
crammed,0.406,0.74,0.466,3.19,0.6820421703008471,0.0875546167499304
cramp,0.194,0.796,0.34,3.04,1.0658245439281806,0.016507902085123
cramped,0.24,0.567,0.36,3.28,0.5122026638918383,0.1530079896567671
cranberry,0.793,0.33,0.363,3.17,1.3343620551353543,0.0035751321910132
crane,0.396,0.417,0.589,3.92,-0.6456695559953743,0.902648868750228
cranial,0.354,0.51,0.583,2.99,0.4372228438380504,0.1930977792005614
cranium,0.439,0.491,0.725,2.64,-0.5117842290927457,0.8491373554096538
crank,0.448,0.275,0.417,3.61,-0.9332780828045276,0.9685078028221924
cranky,0.194,0.776,0.396,3.15,0.143096179561434,0.3871201886572484
cranny,0.194,0.471,0.25,2.45,0.4007340269675001,0.21497054945417
crap,0.083,0.644,0.167,4.4,-0.4017242279350061,0.7914244313370451
crappy,0.039,0.582,0.208,3.5,-0.2177672206774707,0.6647433620710899
craps,0.375,0.42,0.273,2.8,-0.6941433155329362,0.9175969126594734
crash,0.194,0.906,0.355,4.55,-0.4824384893665914,0.8313178446906306
crass,0.223,0.49,0.466,2.96,-0.3361243967376032,0.7515230168261687
crate,0.427,0.173,0.274,3.47,-0.3193759869478043,0.7373818984067202
crater,0.45,0.647,0.529,3.55,-0.5102945147485137,0.8475897849086363
crave,0.625,0.51,0.731,3.47,0.7470321847494651,0.0662118829671132
craving,0.51,0.755,0.636,3.56,1.144679297870804,0.0101658478535245
crawfish,0.51,0.427,0.342,2.65,-0.513099311956991,0.8529216357421657
crawl,0.479,0.519,0.467,3.77,0.0679500443537298,0.4524396232297775
crayon,0.604,0.26,0.185,3.05,0.2527605338019043,0.3041032676695364
crayons,0.684,0.366,0.405,3.01,0.2884928413789847,0.2799422132225504
craze,0.255,0.657,0.435,3.35,0.4731502133991405,0.1740309572400529
crazed,0.153,0.877,0.417,3.14,0.4779422564886261,0.1684974399542007
craziness,0.238,0.908,0.255,3.1,0.5326089764244126,0.1425916242989099
crazy,0.156,0.843,0.321,5.07,0.103519001309914,0.4185301526313656
creak,0.344,0.67,0.411,2.52,0.4316914054681538,0.1975006909670724
creaking,0.302,0.743,0.415,2.8,0.3371913551959157,0.2529955915244711
cream,0.688,0.259,0.22,4.62,1.1331568886716423,0.0120493248644776
creamed,0.723,0.273,0.288,2.72,1.0571611191301986,0.0175440769752972
creamer,0.594,0.192,0.269,2.71,1.303189775845799,0.0043136248145742
creamy,0.823,0.337,0.345,3.43,1.1286354997607375,0.0115757875600233
crease,0.44,0.286,0.3,3.31,-0.1715638586649962,0.6378380010107365
create,0.786,0.588,0.789,5.02,0.0508792710682521,0.4623383838340807
creation,0.927,0.575,0.868,4.56,-0.5885306596089447,0.8820541170562637
creative,0.917,0.518,0.788,4.6,0.092142853212599,0.4304845788329635
creativity,0.938,0.684,0.815,4.01,0.1917887688517176,0.3523612818671582
creator,0.865,0.592,0.856,4.21,-0.9577539380160188,0.9717955399635562
creature,0.669,0.625,0.62,4.16,-0.3659626521567524,0.767151184907171
credence,0.76,0.46,0.737,3.08,-0.5185072826320214,0.8587476062191854
credential,0.735,0.337,0.597,2.75,0.3492795736011349,0.2453580066777994
credentials,0.708,0.373,0.675,3.74,-0.4784475275871237,0.8275251058901176
credibility,0.875,0.427,0.809,3.88,-0.4492813638255659,0.8182514020840665
credible,0.917,0.441,0.75,3.77,-0.2728656362124225,0.7081400587917844
credit,0.673,0.549,0.648,5.0,-0.4535028200825123,0.8178093845321126
creditable,0.802,0.51,0.742,2.52,-0.2804221495506292,0.7140654610879431
credited,0.781,0.39,0.691,3.88,-0.9367443815460592,0.9692393591804892
crediting,0.673,0.55,0.741,2.84,-0.4043898012468082,0.788516399406593
creditor,0.479,0.594,0.689,3.1,-0.117347015193039,0.5836211326136849
creed,0.573,0.245,0.544,3.7,-1.382090405115984,0.997155698539504
creek,0.552,0.392,0.33,4.37,-0.5541097901782694,0.865845673365961
creep,0.354,0.647,0.361,3.84,-0.3458867389450731,0.7552284714976345
creeper,0.429,0.558,0.366,2.94,-0.6811455983809663,0.914239133932561
creeping,0.292,0.613,0.282,3.55,0.0251949881443665,0.4805381827007934
creepy,0.125,0.861,0.373,4.04,0.3418993886406244,0.2540836288783767
cremation,0.084,0.62,0.42,3.06,0.0979376135061761,0.410861971165643
creole,0.667,0.357,0.523,3.07,0.790639388202969,0.0582993745814152
crepe,0.562,0.224,0.349,2.87,1.4159130992726334,0.0021475754426044
crescendo,0.76,0.575,0.594,2.83,0.0148497514260946,0.4843280563883015
crescent,0.698,0.382,0.407,3.57,1.0394354044552618,0.0184054694165226
crest,0.458,0.333,0.333,3.65,-0.5278103628914638,0.8557374008096283
crestfallen,0.235,0.346,0.175,2.16,-0.0048161301526701,0.507470574074336
cretin,0.265,0.583,0.312,2.45,-1.3779310869150756,0.99694582750455
cretins,0.094,0.741,0.328,2.3,-1.0548365430057276,0.9821098983571528
crevice,0.361,0.471,0.275,2.62,0.752501206580687,0.0675407787948272
crew,0.604,0.598,0.735,4.7,-1.0644427993119396,0.9841230402867226
crewman,0.602,0.58,0.548,2.62,-1.1372305392568736,0.9885127110444346
crib,0.653,0.24,0.407,3.48,0.3744973125557583,0.2302678710741582
cricket,0.423,0.539,0.37,4.39,-1.198728356771739,0.99176886840501
cried,0.167,0.612,0.254,4.19,0.1272190693103213,0.4029688114829404
crime,0.071,0.943,0.63,4.89,-0.6418497217284189,0.8995988289262302
criminal,0.021,0.83,0.529,4.75,-1.0651795145479372,0.982660935608582
criminality,0.122,0.863,0.58,2.99,-0.7122378763250871,0.9198109729288588
crimp,0.26,0.557,0.396,2.61,0.1897959101307179,0.3507592871488434
crimson,0.667,0.385,0.37,3.6,0.5070336488129101,0.1596072250856091
cringe,0.245,0.84,0.377,3.54,0.4058506097915126,0.209628951099327
cripple,0.094,0.392,0.161,3.22,-0.9111939848511464,0.9664238248468504
crippled,0.035,0.358,0.236,3.5,-0.4801989481487208,0.8351446665502158
crippling,0.156,0.598,0.391,3.36,0.017273044326176,0.4787266413841994
crisis,0.208,0.811,0.431,4.62,-0.4088580294433388,0.7931750476177168
crisp,0.776,0.692,0.508,3.7,-0.0039514227883525,0.5030263913965498
crispy,0.656,0.55,0.509,3.37,0.3426402191294792,0.2419064674443298
criterion,0.396,0.41,0.736,3.46,-0.394036525743511,0.7908276977969353
critic,0.264,0.604,0.686,3.95,-0.5650441308476202,0.8720427442386027
critical,0.312,0.802,0.545,4.83,-0.4054296588317307,0.7896909864251267
criticise,0.073,0.7,0.452,3.2,-0.4460596006999706,0.8075124393870508
criticism,0.115,0.563,0.505,4.49,-0.492310255053625,0.8345960076102084
criticize,0.143,0.708,0.473,3.63,-0.3851925737766278,0.7795145551040858
criticized,0.24,0.6,0.311,4.0,-0.4270037453298579,0.8092552123276417
critique,0.302,0.76,0.537,3.83,-0.4820135358880075,0.8341062867140122
critter,0.542,0.539,0.482,2.77,0.021682415448454,0.4880406113709274
croak,0.337,0.346,0.298,2.4,0.2024196191703676,0.3435483759380129
croc,0.327,0.452,0.451,2.95,0.1964825137281307,0.3399329686541319
crock,0.385,0.412,0.421,3.03,0.4898848727821645,0.1657601182614001
crockery,0.552,0.216,0.327,2.62,0.9776763021299169,0.0257829061502223
crocodile,0.344,0.708,0.61,3.49,-0.3464394253868643,0.758370455106651
croft,0.531,0.429,0.421,3.17,1.2909774817250523,0.0053537893808853
croissant,0.745,0.33,0.43,2.78,0.8318114185313491,0.0496467215122441
crook,0.171,0.765,0.55,3.41,-1.2058569976707043,0.9928090390454068
crooked,0.146,0.594,0.305,3.63,-0.7008686627623274,0.921096613517076
crop,0.615,0.26,0.5,4.15,0.0173606627433057,0.4856351552313421
croquet,0.551,0.519,0.407,2.7,0.5723091636316504,0.1295766138704437
cross,0.448,0.321,0.569,5.0,-0.625172649948715,0.8917382213439558
crossbow,0.344,0.598,0.56,3.05,-1.0867393360469235,0.9859992649285038
crossed,0.431,0.49,0.508,4.35,-0.095706441931018,0.5747130004429529
crossfire,0.316,0.896,0.722,3.08,-0.4403145833537067,0.8107343296023763
crossing,0.549,0.349,0.451,4.33,-0.5800085475755182,0.8748203551354659
crossover,0.559,0.55,0.5,3.66,0.1273358011952474,0.3992422059958337
crosswalk,0.557,0.441,0.38,2.63,0.3899786216330296,0.2114604958303472
crossword,0.611,0.423,0.455,3.14,0.1625741340419709,0.3825865323354972
crotch,0.521,0.637,0.447,3.27,0.7030569848330019,0.0823917333059263
crouch,0.281,0.606,0.312,3.26,-0.4494975072145059,0.8080840274731307
crouched,0.333,0.363,0.279,2.76,0.1399498235055035,0.3932823281789739
crouching,0.261,0.429,0.345,2.91,-0.1203308239374785,0.5986354231614456
croupier,0.531,0.519,0.404,1.9,-0.6177130751528342,0.8917880560658026
crow,0.224,0.439,0.363,3.8,-0.2176671258704997,0.6749675255914757
crowbar,0.406,0.531,0.386,2.72,-0.8072073026520954,0.9464405758324078
crowd,0.35,0.827,0.731,4.7,-0.6764945020100063,0.911307506915313
crowded,0.694,0.286,0.585,3.98,0.181862031789001,0.3624960195806331
crowds,0.469,0.723,0.806,3.87,-0.5989920392071242,0.8853417601802573
crown,0.708,0.572,0.737,4.56,-0.5158589116020444,0.8471377966120615
crowning,0.773,0.594,0.831,3.09,0.0377514346476396,0.4740506995428561
crucial,0.541,0.657,0.777,4.28,-0.6083077277409145,0.8868310379869306
cruciate,0.429,0.435,0.585,2.65,-0.1631213172835044,0.6219256308441387
crucifix,0.469,0.48,0.51,3.02,0.019415288658008,0.4861201975034723
crucifixion,0.135,0.857,0.541,3.09,-1.2751584957066633,0.99414172249833
crucify,0.146,0.878,0.573,2.69,-0.908791176479308,0.9655098394188606
